ID	H01.metaphlan2.profile	H02.metaphlan2.profile	H03.metaphlan2.profile	H04.metaphlan2.profile	H05.metaphlan2.profile	H06.metaphlan2.profile	H07.metaphlan2.profile	H08.metaphlan2.profile	H09.metaphlan2.profile	H10.metaphlan2.profile	H11.metaphlan2.profile	H12.metaphlan2.profile	H13.metaphlan2.profile	P01.metaphlan2.profile	P02.metaphlan2.profile	P03.metaphlan2.profile	P04.metaphlan2.profile	P05.metaphlan2.profile	P06.metaphlan2.profile	P07.metaphlan2.profile	P08.metaphlan2.profile	P09.metaphlan2.profile	P10.metaphlan2.profile	P11.metaphlan2.profile	P12.metaphlan2.profile	P13.metaphlan2.profile	P14.metaphlan2.profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus|t__GCF_000175315	0.02022	0.01427	0.01669	0.0	0.0162	0.0	0.1208	0.0729	0.01146	0.0	0.20621	0.3723	0.11923	0.22171	0.59599	0.03095	0.10868	0.09142	0.02993	0.01467	0.07612	0.01229	0.08195	0.1417	0.04913	0.08992	0.03978
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.14013	0.0271	0.49577	0.10179	0.07822	0.50772	0.48045	0.70157	0.11934	0.0	0.11453	0.53871	0.31006	0.94249	3.28214	0.76899	10.63773	1.44735	0.48264	1.05965	3.96027	0.0	2.79041	3.46078	0.46213	2.54944	0.34288
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.14013	0.0271	0.49577	0.10179	0.07822	0.50772	0.48045	0.70157	0.11934	0.0	0.11453	0.53871	0.31006	0.94249	3.28214	0.76899	10.63773	1.44735	0.48264	1.05965	3.96027	0.0	2.79041	3.46078	0.46213	2.54944	0.34288
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	0.0732	0.0	0.09234	0.0	0.04652	0.0	0.22345	0.38418	0.0	0.0	0.01232	0.29342	0.0	0.02526	0.0	0.0	0.15916	0.08654	0.05678	0.03047	0.0	0.0	0.09195	0.07748	0.01509	1.00274	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum|t__GCF_000318135	0.0732	0.0	0.09234	0.0	0.04652	0.0	0.22345	0.38418	0.0	0.0	0.01232	0.29342	0.0	0.02526	0.0	0.0	0.15916	0.08654	0.05678	0.03047	0.0	0.0	0.09195	0.07748	0.01509	1.00274	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii	0.06693	0.0271	0.40343	0.10179	0.03171	0.50772	0.25699	0.31739	0.11934	0.0	0.10221	0.24529	0.31006	0.91723	3.28214	0.76899	10.47857	1.36081	0.42586	1.02918	3.96027	0.0	2.69846	3.3833	0.44704	1.54669	0.34288
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_matruchotii|t__Corynebacterium_matruchotii_unclassified	0.06693	0.0271	0.40343	0.10179	0.03171	0.50772	0.25699	0.31739	0.11934	0.0	0.10221	0.24529	0.31006	0.91723	3.28214	0.76899	10.47857	1.36081	0.42586	1.02918	3.96027	0.0	2.69846	3.3833	0.44704	1.54669	0.34288
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	13.39457	18.5849	22.81105	27.0014	37.3728	17.30192	31.90004	19.24979	32.02488	46.9499	31.63514	16.68636	26.05567	10.63834	2.83617	4.67406	17.36155	13.59568	16.3736	6.07701	2.16874	8.49678	3.56458	21.9853	15.48513	27.38931	19.86392
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	13.39457	18.5849	22.81105	27.0014	37.3728	17.30192	31.90004	19.24979	32.02488	46.9499	31.63514	16.68636	26.05567	10.63834	2.83617	4.67406	17.36155	13.59568	16.3736	6.07701	2.16874	8.49678	3.56458	21.9853	15.48513	27.38931	19.86392
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria	0.15453	0.74143	1.71823	3.4483	0.71378	1.68215	0.89439	1.5481	5.23252	0.09895	1.1089	2.4037	0.0	0.09696	0.11823	0.00847	0.52412	1.63948	0.26435	0.21986	0.0	0.98782	0.89912	2.38655	0.01973	3.58374	0.21744
